,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,206.85,-49.55,-19.33,42026.79
2,Asian Paints,Paints,1497.05,-245.9,-14.11,143596.71
3,Axis Bank,Bank - Private,304.5,-123.65,-28.88,85912.89
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1950.0,-292.3,-13.04,56426.57
5,Bajaj Finance,Finance - NBFC,2235.85,-716.05,-24.26,134528.65
6,Bajaj Finserv,Finance - Investment,4580.0,-1653.05,-26.52,72884.88
7,Bharti Airtel,Telecommunication - Service Provider,410.2,-52.45,-11.34,223786.96
8,Bharti Infratel,Telecommunication - Equipment,145.95,-2.2,-1.48,26995.03
9,BPCL,Refineries,269.65,-48.2,-15.16,58493.9
10,Britannia,Consumer Food,2136.6,-331.2,-13.42,51378.46
11,Cipla,Pharmaceuticals & Drugs,371.95,-20.85,-5.31,29987.92
12,Coal India,Coal,128.1,-4.7,-3.54,78944.55
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2777.9,-119.35,-4.12,46160.94
14,Eicher Motors,Automobile - LCVS/ HVCS,13329.9,-2348.55,-14.98,36397.92
15,GAIL,Gas Distribution,78.85,-1.95,-2.41,35866.3
16,Grasim,Diversified,432.45,-96.95,-18.31,28446.52
17,HCL Tech,IT Services & Consulting,416.05,-28.85,-6.48,112902.04
18,HDFC,Finance - Housing,1505.35,-248.6,-14.17,260723.18
19,HDFC Bank,Bank - Private,769.95,-112.9,-12.79,422185.64
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1618.35,-197.35,-10.87,32324.82
21,Hindalco,Iron & Steel,87.45,-18.05,-17.11,19643.22
22,HUL,Household & Personal Products,1864.45,-187.25,-9.13,403620.06
23,ICICI Bank,Bank - Private,281.9,-63.8,-18.46,182459.47
24,IndusInd Bank,Bank - Private,336.65,-103.7,-23.55,23347.88
25,Infosys,IT Services & Consulting,524.65,-60.55,-10.35,223437.79
26,IOC,Refineries,80.65,-9.95,-10.98,75925.19
27,ITC,Cigarettes/Tobacco,153.9,-21.6,-12.31,189177.44
28,JSW Steel,Iron & Steel,144.9,-30.85,-17.55,35025.52
29,Kotak Mahindra,Bank - Private,1090.6,-171.75,-13.61,208573.59
30,Larsen,Engineering & Construction,725.0,-139.7,-16.16,101782.17
31,M&M,Automobile - Auto & Truck Manufacturers,293.2,-29.4,-9.11,36450.41
32,Maruti Suzuki,Automobile - Passenger Cars,4240.0,-839.2,-16.52,128081.95
33,Nestle,Consumer Food,13000.1,-1145.4,-8.1,125341.39
34,NTPC,Power Generation/Distribution,75.75,-5.5,-6.77,74951.27
35,ONGC,Oil Exploration and Production,60.15,-12.2,-16.86,75670.38
36,Power Grid Corp,Power Generation/Distribution,152.95,-4.3,-2.73,80017.16
37,Reliance,Oil Exploration and Production,883.95,-134.0,-13.16,560359.55
38,SBI,Bank - Public,180.8,-29.05,-13.84,161356.98
39,Sun Pharma,Pharmaceuticals & Drugs,324.05,-41.2,-11.28,77750.45
40,Tata Motors,Automobile - LCVS/ HVCS,66.05,-11.25,-14.55,20402.66
41,Tata Steel,Iron & Steel,270.55,-27.2,-9.14,30477.18
42,TCS,IT Services & Consulting,1665.0,-132.45,-7.37,624772.05
43,Tech Mahindra,IT Services & Consulting,489.9,-86.45,-15.0,48320.24
44,Titan Company,Diamond  &  Jewellery,802.05,-102.85,-11.37,71204.89
45,UltraTechCement,Cement,3057.0,-516.85,-14.46,88232.2
46,UPL,Pesticides & Agrochemicals,255.15,-45.0,-14.99,19494.62
47,Vedanta,Metals - Non Ferrous,62.4,-13.05,-17.3,23195.31
48,Wipro,IT Services & Consulting,170.15,-9.05,-5.05,97212.78
49,Yes Bank,Bank - Private,39.7,-6.15,-13.41,49825.37
50,Zee Entertain,TV Broadcasting & Software Production,124.6,-20.3,-14.01,11967.62
