,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,206.4,-50.0,-19.5,41935.36
2,Asian Paints,Paints,1500.05,-242.9,-13.94,143884.46
3,Axis Bank,Bank - Private,303.75,-124.4,-29.06,85701.28
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1948.15,-294.15,-13.12,56373.04
5,Bajaj Finance,Finance - NBFC,2236.2,-715.7,-24.25,134549.71
6,Bajaj Finserv,Finance - Investment,4610.9,-1622.15,-26.02,73376.61
7,Bharti Airtel,Telecommunication - Service Provider,409.35,-53.3,-11.52,223323.24
8,Bharti Infratel,Telecommunication - Equipment,146.8,-1.35,-0.91,27152.25
9,BPCL,Refineries,269.1,-48.75,-15.34,58374.59
10,Britannia,Consumer Food,2135.85,-331.95,-13.45,51360.42
11,Cipla,Pharmaceuticals & Drugs,372.85,-19.95,-5.08,30060.48
12,Coal India,Coal,128.25,-4.55,-3.43,79036.99
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2781.8,-115.45,-3.98,46225.75
14,Eicher Motors,Automobile - LCVS/ HVCS,13513.1,-2165.35,-13.81,36898.16
15,GAIL,Gas Distribution,78.45,-2.35,-2.91,35684.35
16,Grasim,Diversified,431.5,-97.9,-18.49,28384.02
17,HCL Tech,IT Services & Consulting,416.05,-28.85,-6.48,112902.04
18,HDFC,Finance - Housing,1510.4,-243.55,-13.89,261597.83
19,HDFC Bank,Bank - Private,769.15,-113.7,-12.88,421746.98
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1613.0,-202.7,-11.16,32217.96
21,Hindalco,Iron & Steel,87.2,-18.3,-17.35,19587.06
22,HUL,Household & Personal Products,1862.0,-189.7,-9.25,403089.68
23,ICICI Bank,Bank - Private,281.95,-63.75,-18.44,182491.83
24,IndusInd Bank,Bank - Private,335.2,-105.15,-23.88,23247.32
25,Infosys,IT Services & Consulting,524.25,-60.95,-10.42,223267.44
26,IOC,Refineries,80.6,-10.0,-11.04,75878.12
27,ITC,Cigarettes/Tobacco,154.1,-21.4,-12.19,189423.28
28,JSW Steel,Iron & Steel,145.05,-30.7,-17.47,35061.78
29,Kotak Mahindra,Bank - Private,1090.15,-172.2,-13.64,208487.53
30,Larsen,Engineering & Construction,724.95,-139.75,-16.16,101775.15
31,M&M,Automobile - Auto & Truck Manufacturers,291.55,-31.05,-9.62,36245.28
32,Maruti Suzuki,Automobile - Passenger Cars,4240.0,-839.2,-16.52,128081.95
33,Nestle,Consumer Food,13000.05,-1145.45,-8.1,125340.91
34,NTPC,Power Generation/Distribution,76.05,-5.2,-6.4,75248.11
35,ONGC,Oil Exploration and Production,60.1,-12.25,-16.93,75607.48
36,Power Grid Corp,Power Generation/Distribution,152.9,-4.35,-2.77,79991.01
37,Reliance,Oil Exploration and Production,882.0,-135.95,-13.36,559123.39
38,SBI,Bank - Public,180.9,-28.95,-13.8,161446.22
39,Sun Pharma,Pharmaceuticals & Drugs,323.0,-42.25,-11.57,77498.52
40,Tata Motors,Automobile - LCVS/ HVCS,66.05,-11.25,-14.55,20402.66
41,Tata Steel,Iron & Steel,269.35,-28.4,-9.54,30342.0
42,TCS,IT Services & Consulting,1666.0,-131.45,-7.31,625147.29
43,Tech Mahindra,IT Services & Consulting,489.9,-86.45,-15.0,48320.24
44,Titan Company,Diamond  &  Jewellery,804.0,-100.9,-11.15,71378.01
45,UltraTechCement,Cement,3062.65,-511.2,-14.3,88395.27
46,UPL,Pesticides & Agrochemicals,255.15,-45.0,-14.99,19494.62
47,Vedanta,Metals - Non Ferrous,62.15,-13.3,-17.63,23102.38
48,Wipro,IT Services & Consulting,170.4,-8.8,-4.91,97355.61
49,Yes Bank,Bank - Private,39.85,-6.0,-13.09,50013.63
50,Zee Entertain,TV Broadcasting & Software Production,124.5,-20.4,-14.08,11958.02
