,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,206.95,-49.45,-19.29,42047.1
2,Asian Paints,Paints,1494.9,-248.05,-14.23,143390.48
3,Axis Bank,Bank - Private,307.5,-120.65,-28.18,86759.32
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1945.0,-297.3,-13.26,56281.89
5,Bajaj Finance,Finance - NBFC,2233.9,-718.0,-24.32,134411.32
6,Bajaj Finserv,Finance - Investment,4549.0,-1684.05,-27.02,72391.55
7,Bharti Airtel,Telecommunication - Service Provider,409.95,-52.7,-11.39,223650.57
8,Bharti Infratel,Telecommunication - Equipment,146.3,-1.85,-1.25,27059.77
9,BPCL,Refineries,270.55,-47.3,-14.88,58689.13
10,Britannia,Consumer Food,2170.0,-297.8,-12.07,52181.62
11,Cipla,Pharmaceuticals & Drugs,371.85,-20.95,-5.33,29979.86
12,Coal India,Coal,127.0,-5.8,-4.37,78266.65
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2765.0,-132.25,-4.56,45946.58
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.8,-2.0,-2.48,35843.55
16,Grasim,Diversified,434.0,-95.4,-18.02,28548.47
17,HCL Tech,IT Services & Consulting,416.0,-28.9,-6.5,112888.47
18,HDFC,Finance - Housing,1517.6,-236.35,-13.48,262844.86
19,HDFC Bank,Bank - Private,768.6,-114.25,-12.94,421445.4
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1619.45,-196.25,-10.81,32346.79
21,Hindalco,Iron & Steel,87.75,-17.75,-16.82,19710.6
22,HUL,Household & Personal Products,1870.95,-180.75,-8.81,405027.2
23,ICICI Bank,Bank - Private,282.45,-63.25,-18.3,182815.46
24,IndusInd Bank,Bank - Private,335.5,-104.85,-23.81,23268.12
25,Infosys,IT Services & Consulting,525.95,-59.25,-10.12,223991.44
26,IOC,Refineries,80.85,-9.75,-10.76,76113.47
27,ITC,Cigarettes/Tobacco,154.4,-21.1,-12.02,189792.05
28,JSW Steel,Iron & Steel,144.5,-31.25,-17.78,34928.84
29,Kotak Mahindra,Bank - Private,1092.95,-169.4,-13.42,209023.02
30,Larsen,Engineering & Construction,720.05,-144.65,-16.73,101087.25
31,M&M,Automobile - Auto & Truck Manufacturers,294.1,-28.5,-8.83,36562.29
32,Maruti Suzuki,Automobile - Passenger Cars,4200.0,-879.2,-17.31,126873.63
33,Nestle,Consumer Food,13006.35,-1139.15,-8.05,125401.65
34,NTPC,Power Generation/Distribution,76.15,-5.1,-6.28,75347.05
35,ONGC,Oil Exploration and Production,60.4,-11.95,-16.52,75984.89
36,Power Grid Corp,Power Generation/Distribution,153.3,-3.95,-2.51,80200.27
37,Reliance,Oil Exploration and Production,888.35,-129.6,-12.73,563148.83
38,SBI,Bank - Public,181.6,-28.25,-13.46,162070.95
39,Sun Pharma,Pharmaceuticals & Drugs,330.05,-35.2,-9.64,79190.05
40,Tata Motors,Automobile - LCVS/ HVCS,66.25,-11.05,-14.29,20464.44
41,Tata Steel,Iron & Steel,269.75,-28.0,-9.4,30387.06
42,TCS,IT Services & Consulting,1663.05,-134.4,-7.48,624040.34
43,Tech Mahindra,IT Services & Consulting,478.35,-98.0,-17.0,47181.03
44,Titan Company,Diamond  &  Jewellery,799.75,-105.15,-11.62,71000.7
45,UltraTechCement,Cement,3052.6,-521.25,-14.59,88105.2
46,UPL,Pesticides & Agrochemicals,250.4,-49.75,-16.58,19131.7
47,Vedanta,Metals - Non Ferrous,62.75,-12.7,-16.83,23325.41
48,Wipro,IT Services & Consulting,170.65,-8.55,-4.77,97498.44
49,Yes Bank,Bank - Private,39.75,-6.1,-13.3,49888.13
50,Zee Entertain,TV Broadcasting & Software Production,123.25,-21.65,-14.94,11837.96
