,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,207.4,-49.0,-19.11,42138.53
2,Asian Paints,Paints,1500.05,-242.9,-13.94,143884.46
3,Axis Bank,Bank - Private,304.3,-123.85,-28.93,85856.46
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1942.8,-299.5,-13.36,56218.22
5,Bajaj Finance,Finance - NBFC,2251.6,-700.3,-23.72,135476.31
6,Bajaj Finserv,Finance - Investment,4693.75,-1539.3,-24.7,74695.07
7,Bharti Airtel,Telecommunication - Service Provider,407.9,-54.75,-11.83,222532.18
8,Bharti Infratel,Telecommunication - Equipment,144.95,-3.2,-2.16,26810.07
9,BPCL,Refineries,269.0,-48.85,-15.37,58352.9
10,Britannia,Consumer Food,2164.0,-303.8,-12.31,52037.34
11,Cipla,Pharmaceuticals & Drugs,375.75,-17.05,-4.34,30294.29
12,Coal India,Coal,128.5,-4.3,-3.24,79191.06
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2780.45,-116.8,-4.03,46203.32
14,Eicher Motors,Automobile - LCVS/ HVCS,13772.7,-1905.75,-12.16,37607.01
15,GAIL,Gas Distribution,77.5,-3.3,-4.08,35252.23
16,Grasim,Diversified,429.95,-99.45,-18.79,28282.07
17,HCL Tech,IT Services & Consulting,416.05,-28.85,-6.48,112902.04
18,HDFC,Finance - Housing,1524.8,-229.15,-13.06,264091.88
19,HDFC Bank,Bank - Private,770.0,-112.85,-12.78,422213.06
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1626.9,-188.8,-10.4,32495.6
21,Hindalco,Iron & Steel,88.85,-16.65,-15.78,19957.69
22,HUL,Household & Personal Products,1876.9,-174.8,-8.52,406315.26
23,ICICI Bank,Bank - Private,282.0,-63.7,-18.43,182524.2
24,IndusInd Bank,Bank - Private,337.0,-103.35,-23.47,23372.15
25,Infosys,IT Services & Consulting,524.2,-61.0,-10.42,223246.15
26,IOC,Refineries,80.5,-10.1,-11.15,75783.98
27,ITC,Cigarettes/Tobacco,155.05,-20.45,-11.65,190591.05
28,JSW Steel,Iron & Steel,144.85,-30.9,-17.58,35013.44
29,Kotak Mahindra,Bank - Private,1094.1,-168.25,-13.33,209242.96
30,Larsen,Engineering & Construction,726.05,-138.65,-16.03,101929.58
31,M&M,Automobile - Auto & Truck Manufacturers,296.1,-26.5,-8.21,36810.93
32,Maruti Suzuki,Automobile - Passenger Cars,4244.7,-834.5,-16.43,128223.92
33,Nestle,Consumer Food,12993.5,-1152.0,-8.14,125277.76
34,NTPC,Power Generation/Distribution,76.65,-4.6,-5.66,75841.78
35,ONGC,Oil Exploration and Production,60.1,-12.25,-16.93,75607.48
36,Power Grid Corp,Power Generation/Distribution,152.95,-4.3,-2.73,80017.16
37,Reliance,Oil Exploration and Production,881.05,-136.9,-13.45,558521.16
38,SBI,Bank - Public,181.1,-28.75,-13.7,161624.71
39,Sun Pharma,Pharmaceuticals & Drugs,323.0,-42.25,-11.57,77498.52
40,Tata Motors,Automobile - LCVS/ HVCS,66.1,-11.2,-14.49,20418.11
41,Tata Steel,Iron & Steel,270.9,-26.85,-9.02,30516.61
42,TCS,IT Services & Consulting,1674.75,-122.7,-6.83,628430.63
43,Tech Mahindra,IT Services & Consulting,489.9,-86.45,-15.0,48320.24
44,Titan Company,Diamond  &  Jewellery,803.0,-101.9,-11.26,71289.23
45,UltraTechCement,Cement,3072.8,-501.05,-14.02,88688.22
46,UPL,Pesticides & Agrochemicals,255.15,-45.0,-14.99,19494.62
47,Vedanta,Metals - Non Ferrous,62.45,-13.0,-17.23,23213.89
48,Wipro,IT Services & Consulting,170.65,-8.55,-4.77,97498.44
49,Yes Bank,Bank - Private,39.85,-6.0,-13.09,50013.63
50,Zee Entertain,TV Broadcasting & Software Production,122.7,-22.2,-15.32,11785.13
