,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,214.3,-42.1,-16.42,43540.44
2,Asian Paints,Paints,1522.85,-220.1,-12.63,146071.44
3,Axis Bank,Bank - Private,321.15,-107.0,-24.99,90610.59
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1934.9,-307.4,-13.71,55989.62
5,Bajaj Finance,Finance - NBFC,2392.35,-559.55,-18.96,143945.08
6,Bajaj Finserv,Finance - Investment,4957.85,-1275.2,-20.46,78897.88
7,Bharti Airtel,Telecommunication - Service Provider,423.35,-39.3,-8.49,230961.02
8,Bharti Infratel,Telecommunication - Equipment,144.05,-4.1,-2.77,26643.61
9,BPCL,Refineries,286.05,-31.8,-10.0,62051.47
10,Britannia,Consumer Food,2223.7,-244.1,-9.89,53472.93
11,Cipla,Pharmaceuticals & Drugs,388.15,-4.65,-1.18,31294.02
12,Coal India,Coal,133.0,0.2,0.15,81964.29
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2778.95,-118.3,-4.08,46178.39
14,Eicher Motors,Automobile - LCVS/ HVCS,14245.2,-1433.25,-9.14,38897.19
15,GAIL,Gas Distribution,78.0,-2.8,-3.47,35479.66
16,Grasim,Diversified,433.7,-95.7,-18.08,28528.74
17,HCL Tech,IT Services & Consulting,415.8,-29.1,-6.54,112834.19
18,HDFC,Finance - Housing,1594.05,-159.9,-9.12,276085.82
19,HDFC Bank,Bank - Private,774.35,-108.5,-12.29,424598.29
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1569.8,-245.9,-13.54,31355.09
21,Hindalco,Iron & Steel,86.5,-19.0,-18.01,19429.83
22,HUL,Household & Personal Products,1900.6,-151.1,-7.36,411445.89
23,ICICI Bank,Bank - Private,282.7,-63.0,-18.22,182977.27
24,IndusInd Bank,Bank - Private,332.6,-107.75,-24.47,23067.0
25,Infosys,IT Services & Consulting,529.2,-56.0,-9.57,225375.55
26,IOC,Refineries,83.05,-7.55,-8.33,78184.59
27,ITC,Cigarettes/Tobacco,153.8,-21.7,-12.36,189054.52
28,JSW Steel,Iron & Steel,138.3,-37.45,-21.31,33430.16
29,Kotak Mahindra,Bank - Private,1100.1,-162.25,-12.85,210390.44
30,Larsen,Engineering & Construction,709.35,-155.35,-17.97,99585.08
31,M&M,Automobile - Auto & Truck Manufacturers,291.65,-30.95,-9.59,36257.71
32,Maruti Suzuki,Automobile - Passenger Cars,4225.65,-853.55,-16.8,127648.46
33,Nestle,Consumer Food,13540.5,-605.0,-4.28,130551.7
34,NTPC,Power Generation/Distribution,76.95,-4.3,-5.29,76138.62
35,ONGC,Oil Exploration and Production,61.5,-10.85,-15.0,77368.72
36,Power Grid Corp,Power Generation/Distribution,152.4,-4.85,-3.08,79729.43
37,Reliance,Oil Exploration and Production,890.6,-127.35,-12.51,564575.16
38,SBI,Bank - Public,183.4,-26.45,-12.6,163677.38
39,Sun Pharma,Pharmaceuticals & Drugs,334.7,-30.55,-8.36,80305.74
40,Tata Motors,Automobile - LCVS/ HVCS,68.1,-9.2,-11.9,21035.9
41,Tata Steel,Iron & Steel,260.05,-37.7,-12.66,29294.36
42,TCS,IT Services & Consulting,1687.85,-109.6,-6.1,633346.25
43,Tech Mahindra,IT Services & Consulting,505.05,-71.3,-12.37,49814.53
44,Titan Company,Diamond  &  Jewellery,803.4,-101.5,-11.22,71324.74
45,UltraTechCement,Cement,3101.0,-472.85,-13.23,89502.14
46,UPL,Pesticides & Agrochemicals,267.15,-33.0,-10.99,20411.47
47,Vedanta,Metals - Non Ferrous,62.85,-12.6,-16.7,23362.58
48,Wipro,IT Services & Consulting,173.2,-6.0,-3.35,98955.35
49,Yes Bank,Bank - Private,42.1,-3.75,-8.18,52837.49
50,Zee Entertain,TV Broadcasting & Software Production,128.35,-16.55,-11.42,12327.8
