,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,206.65,-49.75,-19.4,41986.15
2,Asian Paints,Paints,1500.0,-242.95,-13.94,143879.67
3,Axis Bank,Bank - Private,304.0,-124.15,-29.0,85771.82
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1940.0,-302.3,-13.48,56137.2
5,Bajaj Finance,Finance - NBFC,2250.15,-701.75,-23.77,135389.07
6,Bajaj Finserv,Finance - Investment,4675.0,-1558.05,-25.0,74396.68
7,Bharti Airtel,Telecommunication - Service Provider,409.15,-53.5,-11.56,223214.13
8,Bharti Infratel,Telecommunication - Equipment,145.1,-3.05,-2.06,26837.82
9,BPCL,Refineries,268.65,-49.2,-15.48,58276.97
10,Britannia,Consumer Food,2143.75,-324.05,-13.13,51550.39
11,Cipla,Pharmaceuticals & Drugs,374.95,-17.85,-4.54,30229.79
12,Coal India,Coal,128.35,-4.45,-3.35,79098.62
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2783.2,-114.05,-3.94,46249.01
14,Eicher Motors,Automobile - LCVS/ HVCS,13750.0,-1928.45,-12.3,37545.03
15,GAIL,Gas Distribution,77.75,-3.05,-3.77,35365.94
16,Grasim,Diversified,430.85,-98.55,-18.62,28341.27
17,HCL Tech,IT Services & Consulting,416.0,-28.9,-6.5,112888.47
18,HDFC,Finance - Housing,1514.55,-239.4,-13.65,262316.6
19,HDFC Bank,Bank - Private,770.0,-112.85,-12.78,422213.06
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1620.4,-195.3,-10.76,32365.77
21,Hindalco,Iron & Steel,87.9,-17.6,-16.68,19744.3
22,HUL,Household & Personal Products,1870.35,-181.35,-8.84,404897.31
23,ICICI Bank,Bank - Private,282.95,-62.75,-18.15,183139.08
24,IndusInd Bank,Bank - Private,336.25,-104.1,-23.64,23320.14
25,Infosys,IT Services & Consulting,524.1,-61.1,-10.44,223203.56
26,IOC,Refineries,80.55,-10.05,-11.09,75831.05
27,ITC,Cigarettes/Tobacco,155.0,-20.5,-11.68,190529.58
28,JSW Steel,Iron & Steel,144.6,-31.15,-17.72,34953.01
29,Kotak Mahindra,Bank - Private,1090.0,-172.35,-13.65,208458.85
30,Larsen,Engineering & Construction,725.8,-138.9,-16.06,101894.48
31,M&M,Automobile - Auto & Truck Manufacturers,292.6,-30.0,-9.3,36375.81
32,Maruti Suzuki,Automobile - Passenger Cars,4245.0,-834.2,-16.42,128232.99
33,Nestle,Consumer Food,13000.0,-1145.5,-8.1,125340.43
34,NTPC,Power Generation/Distribution,76.1,-5.15,-6.34,75297.58
35,ONGC,Oil Exploration and Production,60.05,-12.3,-17.0,75544.58
36,Power Grid Corp,Power Generation/Distribution,152.9,-4.35,-2.77,79991.01
37,Reliance,Oil Exploration and Production,881.9,-136.05,-13.37,559060.0
38,SBI,Bank - Public,180.95,-28.9,-13.77,161490.85
39,Sun Pharma,Pharmaceuticals & Drugs,324.25,-41.0,-11.23,77798.44
40,Tata Motors,Automobile - LCVS/ HVCS,66.05,-11.25,-14.55,20402.66
41,Tata Steel,Iron & Steel,269.85,-27.9,-9.37,30398.32
42,TCS,IT Services & Consulting,1666.55,-130.9,-7.28,625353.67
43,Tech Mahindra,IT Services & Consulting,489.9,-86.45,-15.0,48320.24
44,Titan Company,Diamond  &  Jewellery,804.55,-100.35,-11.09,71426.84
45,UltraTechCement,Cement,3075.05,-498.8,-13.96,88753.16
46,UPL,Pesticides & Agrochemicals,255.15,-45.0,-14.99,19494.62
47,Vedanta,Metals - Non Ferrous,62.45,-13.0,-17.23,23213.89
48,Wipro,IT Services & Consulting,170.35,-8.85,-4.94,97327.04
49,Yes Bank,Bank - Private,39.7,-6.15,-13.41,49825.37
50,Zee Entertain,TV Broadcasting & Software Production,124.35,-20.55,-14.18,11943.61
