,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,207.8,-48.6,-18.95,42219.8
2,Asian Paints,Paints,1498.45,-244.5,-14.03,143730.99
3,Axis Bank,Bank - Private,308.65,-119.5,-27.91,87083.79
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1935.55,-306.75,-13.68,56008.43
5,Bajaj Finance,Finance - NBFC,2266.15,-685.75,-23.23,136351.77
6,Bajaj Finserv,Finance - Investment,4621.05,-1612.0,-25.86,73538.14
7,Bharti Airtel,Telecommunication - Service Provider,407.35,-55.3,-11.95,222232.13
8,Bharti Infratel,Telecommunication - Equipment,143.4,-4.75,-3.21,26523.38
9,BPCL,Refineries,269.35,-48.5,-15.26,58428.82
10,Britannia,Consumer Food,2137.85,-329.95,-13.37,51408.51
11,Cipla,Pharmaceuticals & Drugs,375.25,-17.55,-4.47,30253.98
12,Coal India,Coal,127.85,-4.95,-3.73,78790.48
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2768.4,-128.85,-4.45,46003.08
14,Eicher Motors,Automobile - LCVS/ HVCS,13364.4,-2314.05,-14.76,36492.13
15,GAIL,Gas Distribution,78.0,-2.8,-3.47,35479.66
16,Grasim,Diversified,433.25,-96.15,-18.16,28499.14
17,HCL Tech,IT Services & Consulting,417.15,-27.75,-6.24,113200.54
18,HDFC,Finance - Housing,1520.7,-233.25,-13.3,263381.77
19,HDFC Bank,Bank - Private,771.55,-111.3,-12.61,423062.97
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1616.0,-199.7,-11.0,32277.88
21,Hindalco,Iron & Steel,87.9,-17.6,-16.68,19744.3
22,HUL,Household & Personal Products,1869.7,-182.0,-8.87,404756.59
23,ICICI Bank,Bank - Private,284.0,-61.7,-17.85,183818.69
24,IndusInd Bank,Bank - Private,336.45,-103.9,-23.59,23334.01
25,Infosys,IT Services & Consulting,526.45,-58.75,-10.04,224204.38
26,IOC,Refineries,80.75,-9.85,-10.87,76019.33
27,ITC,Cigarettes/Tobacco,154.3,-21.2,-12.08,189669.13
28,JSW Steel,Iron & Steel,144.4,-31.35,-17.84,34904.66
29,Kotak Mahindra,Bank - Private,1098.25,-164.1,-13.0,210036.63
30,Larsen,Engineering & Construction,724.05,-140.65,-16.27,101648.8
31,M&M,Automobile - Auto & Truck Manufacturers,293.4,-29.2,-9.05,36475.27
32,Maruti Suzuki,Automobile - Passenger Cars,4220.35,-858.85,-16.91,127488.36
33,Nestle,Consumer Food,12944.65,-1200.85,-8.49,124806.77
34,NTPC,Power Generation/Distribution,76.4,-4.85,-5.97,75594.42
35,ONGC,Oil Exploration and Production,60.4,-11.95,-16.52,75984.89
36,Power Grid Corp,Power Generation/Distribution,153.0,-4.25,-2.7,80043.32
37,Reliance,Oil Exploration and Production,884.05,-133.9,-13.15,560422.94
38,SBI,Bank - Public,181.6,-28.25,-13.46,162070.95
39,Sun Pharma,Pharmaceuticals & Drugs,324.5,-40.75,-11.16,77858.42
40,Tata Motors,Automobile - LCVS/ HVCS,66.2,-11.1,-14.36,20449.0
41,Tata Steel,Iron & Steel,271.15,-26.6,-8.93,30544.77
42,TCS,IT Services & Consulting,1669.7,-127.75,-7.11,626535.67
43,Tech Mahindra,IT Services & Consulting,487.2,-89.15,-15.47,48053.93
44,Titan Company,Diamond  &  Jewellery,800.95,-103.95,-11.49,71107.23
45,UltraTechCement,Cement,3054.85,-519.0,-14.52,88170.14
46,UPL,Pesticides & Agrochemicals,254.6,-45.55,-15.18,19452.6
47,Vedanta,Metals - Non Ferrous,62.65,-12.8,-16.96,23288.24
48,Wipro,IT Services & Consulting,170.15,-9.05,-5.05,97212.78
49,Yes Bank,Bank - Private,39.75,-6.1,-13.3,49888.13
50,Zee Entertain,TV Broadcasting & Software Production,122.0,-22.9,-15.8,11717.9
