,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,203.8,-52.6,-20.51,41407.1
2,Asian Paints,Paints,1500.0,-242.95,-13.94,143879.67
3,Axis Bank,Bank - Private,312.8,-115.35,-26.94,88254.69
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1949.5,-292.8,-13.06,56412.1
5,Bajaj Finance,Finance - NBFC,2285.8,-666.1,-22.57,137534.09
6,Bajaj Finserv,Finance - Investment,4796.9,-1436.15,-23.04,76336.57
7,Bharti Airtel,Telecommunication - Service Provider,400.55,-62.1,-13.42,218522.35
8,Bharti Infratel,Telecommunication - Equipment,141.3,-6.85,-4.62,26134.96
9,BPCL,Refineries,266.3,-51.55,-16.22,57767.2
10,Britannia,Consumer Food,2100.4,-367.4,-14.89,50507.96
11,Cipla,Pharmaceuticals & Drugs,376.0,-16.8,-4.28,30314.45
12,Coal India,Coal,128.85,-3.95,-2.97,79406.75
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2760.25,-137.0,-4.73,45867.65
14,Eicher Motors,Automobile - LCVS/ HVCS,14110.65,-1567.8,-10.0,38529.8
15,GAIL,Gas Distribution,77.45,-3.35,-4.15,35229.48
16,Grasim,Diversified,435.0,-94.4,-17.83,28614.25
17,HCL Tech,IT Services & Consulting,416.0,-28.9,-6.5,112888.47
18,HDFC,Finance - Housing,1530.85,-223.1,-12.72,265139.72
19,HDFC Bank,Bank - Private,772.85,-110.0,-12.46,423775.79
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1594.8,-220.9,-12.17,31854.43
21,Hindalco,Iron & Steel,88.45,-17.05,-16.16,19867.84
22,HUL,Household & Personal Products,1887.4,-164.3,-8.01,408588.33
23,ICICI Bank,Bank - Private,287.25,-58.45,-16.91,185922.25
24,IndusInd Bank,Bank - Private,339.9,-100.45,-22.81,23573.28
25,Infosys,IT Services & Consulting,528.0,-57.2,-9.77,224864.49
26,IOC,Refineries,81.0,-9.6,-10.6,76254.69
27,ITC,Cigarettes/Tobacco,153.75,-21.75,-12.39,188993.06
28,JSW Steel,Iron & Steel,143.15,-32.6,-18.55,34602.51
29,Kotak Mahindra,Bank - Private,1092.1,-170.25,-13.49,208860.46
30,Larsen,Engineering & Construction,729.95,-134.75,-15.58,102477.1
31,M&M,Automobile - Auto & Truck Manufacturers,292.95,-29.65,-9.19,36419.33
32,Maruti Suzuki,Automobile - Passenger Cars,4229.45,-849.75,-16.73,127763.25
33,Nestle,Consumer Food,12906.2,-1239.3,-8.76,124436.05
34,NTPC,Power Generation/Distribution,75.8,-5.45,-6.71,75000.74
35,ONGC,Oil Exploration and Production,60.45,-11.9,-16.45,76047.79
36,Power Grid Corp,Power Generation/Distribution,152.05,-5.2,-3.31,79546.32
37,Reliance,Oil Exploration and Production,880.0,-137.95,-13.55,557855.54
38,SBI,Bank - Public,182.0,-27.85,-13.27,162427.93
39,Sun Pharma,Pharmaceuticals & Drugs,320.35,-44.9,-12.29,76862.7
40,Tata Motors,Automobile - LCVS/ HVCS,66.25,-11.05,-14.29,20464.44
41,Tata Steel,Iron & Steel,269.35,-28.4,-9.54,30342.0
42,TCS,IT Services & Consulting,1684.05,-113.4,-6.31,631920.35
43,Tech Mahindra,IT Services & Consulting,490.05,-86.3,-14.97,48335.04
44,Titan Company,Diamond  &  Jewellery,817.0,-87.9,-9.71,72532.13
45,UltraTechCement,Cement,3054.05,-519.8,-14.54,88147.05
46,UPL,Pesticides & Agrochemicals,256.0,-44.15,-14.71,19559.56
47,Vedanta,Metals - Non Ferrous,62.55,-12.9,-17.1,23251.06
48,Wipro,IT Services & Consulting,170.45,-8.75,-4.88,97384.18
49,Yes Bank,Bank - Private,39.95,-5.9,-12.87,50139.14
50,Zee Entertain,TV Broadcasting & Software Production,124.75,-20.15,-13.91,11982.03
